,Attrition,Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,0,37,Travel_Rarely,Research & Development,1,4,Life Sciences,1,Male,2,2,Manufacturing Director,3,Divorced,"(4807.0, 6706.0]",1,No,18,3,3,1,7,2,4,7,5,0,7
1,0,54,Travel_Frequently,Research & Development,1,4,Life Sciences,4,Female,3,3,Manufacturing Director,3,Divorced,"(8605.0, 10504.0]",7,No,17,3,1,1,33,2,1,5,4,1,4
2,1,34,Travel_Frequently,Research & Development,7,3,Life Sciences,1,Male,1,2,Laboratory Technician,3,Single,"(4807.0, 6706.0]",1,Yes,24,4,4,0,9,3,3,9,7,0,6
3,0,39,Travel_Rarely,Research & Development,1,1,Life Sciences,4,Female,2,4,Manufacturing Director,4,Married,"(12403.0, 14302.0]",1,No,16,3,3,1,21,3,3,21,6,11,8
4,1,28,Travel_Frequently,Research & Development,1,3,Medical,1,Male,2,1,Laboratory Technician,2,Divorced,"(990.01, 2908.0]",1,No,15,3,1,2,1,2,3,1,0,0,0
5,0,24,Travel_Rarely,Sales,4,1,Medical,4,Female,3,2,Sales Executive,3,Married,"(2908.0, 4807.0]",1,Yes,12,3,3,2,5,3,3,5,4,0,3
6,0,29,Travel_Rarely,Research & Development,9,5,Other,2,Male,2,1,Laboratory Technician,4,Single,"(2908.0, 4807.0]",0,No,17,3,3,0,4,2,3,3,2,2,2
7,0,36,Travel_Rarely,Sales,2,2,Medical,2,Male,2,3,Sales Executive,3,Married,"(6706.0, 8605.0]",1,No,13,3,2,2,10,2,3,10,9,9,0
8,0,33,Travel_Rarely,Research & Development,4,4,Medical,3,Female,2,1,Research Scientist,2,Married,"(990.01, 2908.0]",6,No,21,4,4,0,7,3,3,3,2,1,1
9,0,34,Travel_Rarely,Research & Development,2,4,Technical Degree,3,Female,3,2,Healthcare Representative,4,Single,"(4807.0, 6706.0]",1,No,11,3,4,0,14,2,4,14,11,4,11
